Generation,Max,Avg,Std,Min
0,87.29788162462296,3.471588408738567,19.103736536496527,-6.478509642208569
1,87.74628484395723,15.773145057743873,25.982678680042337,-5.996452088619021
2,87.74628484395723,26.94821858528066,29.99851568189707,-6.556778356158042
3,90.6701190770195,40.62125322061621,36.08241427644839,-6.278521424165844
4,90.6701190770195,53.55880425550974,37.32309306957293,-5.945420608606575
5,91.48027017401381,63.006600471435924,36.02024018078174,-6.192362489474872
6,91.48027017401381,66.3308606771115,35.89752369429434,-5.968707559985366
7,91.29946701359933,65.22078412583895,37.52502564420144,-6.278521424165844
8,91.48027017401381,62.277777367805065,37.844872192193485,-6.194405391104672
9,91.48027017401381,69.58160518514383,31.405239803452282,-6.1779441140506
10,91.48027017401381,68.2165388577237,35.89244520710805,-6.182084906716632
11,91.48027017401381,69.67607928994147,34.05224973416297,-6.280395838960195
12,91.48027017401381,74.81905533474202,28.39616990028667,-6.175867270105761
13,91.48027017401381,70.1256067795091,34.05648169003452,-6.135564891081739
14,91.48027017401381,70.33046004261323,33.22636744006709,-6.668228248417403
15,91.48027017401381,76.10173656359055,27.275436532905495,-6.016157159698354
16,91.48027017401381,68.27485005669867,34.38088385499999,-5.780743515792329
17,91.48027017401381,70.5461243236793,32.0687929459615,-6.309918278226516
18,91.77616819497442,75.03668834237985,28.31649378182335,-6.0330862217988015
19,91.53616819497442,69.9177104834967,33.063573102352606,-5.84354441703136
20,92.23419793370402,76.42720963220341,26.97388141414521,-6.1779441140506
21,92.17419793370402,75.56350744404689,27.896431054695928,-6.226536669287466
22,92.17419793370402,80.04692515694228,24.093709355237472,-5.420534999272286
23,92.17419793370402,72.18592921394733,31.30416131027856,-6.1779441140506
24,92.17419793370402,71.29933349594819,34.50107643054095,-6.1092475827643655
25,91.84254710353532,72.19123497980894,30.512133808153397,-6.100318952020064
26,91.84254710353532,69.34853449820153,32.872911584644875,-6.456769655572163
27,92.0196441749217,71.63693092021845,30.479997646828984,-5.84354441703136
28,92.17419793370402,71.5840749664176,29.880383886726698,-5.8944028342648505
29,92.0196441749217,72.37895724574523,31.953539430984165,-6.021023349349527
30,92.0196441749217,79.94756961390176,23.473102095619108,-5.768320995793772
