Generation,Max,Avg,Std,Min
0,13.435502237841803,-3.5593747414213883,6.45972373226519,-15.301270543463094
1,15.016125630507169,-1.1612556704872625,8.571680667504495,-15.329308765457998
2,15.016125630507169,-0.2120008307073933,8.205878533015236,-13.45942445804954
3,17.32257344890254,1.0536596574910413,9.099035777185533,-15.591482309769534
4,17.32257344890254,2.9760396946824432,9.289318593767664,-15.090505630711903
5,17.32257344890254,2.264185140116567,9.441240475866518,-17.327539606586207
6,21.232033946329906,3.9974388637441143,9.625166783350252,-16.77852016301467
7,21.232033946329906,5.942803623509771,8.790548612575561,-12.358130412574198
8,21.232033946329906,7.326641546568951,8.301226999531783,-15.431430850329495
9,21.232033946329906,5.372216009796996,9.56286398671328,-15.41134433760703
10,21.232033946329906,6.250572455187722,8.935081240586092,-11.776768456262385
11,21.232033946329906,6.911375712758351,9.06680275349174,-11.78623422253333
12,25.34609093092077,7.440666455734671,8.74898832456326,-11.776557847113228
13,25.34609093092077,5.965068333578255,10.108999912196595,-15.21840268390318
14,25.34609093092077,6.813420984771829,9.563919505452604,-11.817316268631782
15,25.34609093092077,6.403759604706545,9.695633101218329,-11.821631069385123
16,25.34609093092077,8.957899874884165,9.646730293949819,-11.808816850244575
17,25.34609093092077,10.553301586394621,8.745160556203023,-11.777709038310284
18,25.34609093092077,9.607107457382646,9.272031581215646,-15.321275894760685
19,25.34609093092077,11.764678351012655,9.406792973635643,-13.377619112401103
20,25.34609093092077,14.224676024993233,9.04532360537181,-13.371717440342675
21,25.352152996022078,16.55601489225286,9.892963035241364,-11.832228554279386
22,25.38372969930698,21.42579256606078,7.7052678118143305,-10.406288325913604
23,25.55735444203807,23.646045142752506,5.203848770012324,-11.759669156279386
24,25.55735444203807,22.777950482359323,4.971039490855875,1.650070046140403
25,26.31680720911511,22.591947342833482,5.964650331295314,-11.99903798237563
26,26.31680720911511,20.82511115522321,7.13767066614589,-11.777709038310284
27,26.31680720911511,21.056609799557354,6.553714772106042,-4.801304057864261
28,26.31680720911511,19.971168872082604,8.000191851931945,-11.777709038310284
29,26.31680720911511,21.74252422795779,5.284666041500623,1.0625299122734724
