Generation,Max,Avg,Std,Min
0,13.36078029053963,-4.0774385338080235,5.405903931712953,-12.345276795749207
1,19.887363222691896,-1.7185945400903757,7.146451582584715,-10.021602559315404
2,21.202338995321355,-0.6967551668360963,7.9405258456559595,-7.574123774013575
3,21.202338995321355,0.9872288861577851,8.717132787041226,-11.777709038310284
4,21.202338995321355,1.8548129557489847,9.284625066387566,-11.776227417292603
5,21.202338995321355,2.8991239498797006,9.109607094851821,-11.777709038310284
6,21.202338995321355,6.4675799765133615,9.107501732800891,-7.288181043710649
7,21.202338995321355,6.635427846402515,9.296782464433212,-7.288181043710649
8,21.202338995321355,4.798232403130142,9.318983353703665,-8.723520268509997
9,21.202338995321355,5.651095652372457,9.094224409812702,-7.231622258988274
10,21.202338995321355,5.4392899737212135,9.704386751065053,-7.567829991744754
11,23.98932220885773,8.662408693907235,9.57666468038878,-7.392125505643681
12,23.98932220885773,10.764430849976117,8.483682920171514,-5.914530987020784
13,23.98932220885773,14.054537401977482,6.6995405154942596,-5.80363071672228
14,23.98932220885773,16.29905158952971,5.941080587378117,-5.835537229464088
15,23.98932220885773,15.499401712679832,6.903864284891969,-5.861734031912603
16,23.98932220885773,17.19000564212229,5.083785880069255,-1.3880770668015892
17,23.98932220885773,16.75646237192036,6.341469594882806,-5.542271431128261
18,23.98932220885773,16.5318238683243,5.48015293756862,0.2934451802796234
19,23.98932220885773,15.474555939875493,7.396316413643363,-5.74013526876706
20,23.98932220885773,13.402546110642955,8.77948223257797,-5.991340958346825
21,23.98932220885773,14.785531613945858,9.13746992120672,-6.113287143551741
22,23.98932220885773,15.436478468568021,9.276100038486453,-6.303709081899856
23,23.98932220885773,12.61173416046233,9.765103797210575,-6.569816742722893
24,23.98932220885773,15.536199318802618,7.96627736519939,-5.801305897762554
25,24.43228074397907,16.75549622191445,8.045939952144302,-6.442913933009635
26,24.43228074397907,20.03241006562141,4.478261842951913,-4.218890567116393
27,24.43228074397907,21.27768817095869,1.4306560277794544,11.689737338203969
28,24.43228074397907,20.718835418332947,3.440043219881218,-2.0964293759476167
29,24.43228074397907,20.5577786630556,3.263283422213326,3.9144539726261147
