Generation,Max,Avg,Std,Min
0,26.77440190579354,-2.822989427519393,6.991368151490125,-7.495154516642799
1,26.77440190579354,-2.016936492448998,8.439910222619272,-9.766862287677665
2,26.77440190579354,-1.1204737365912099,9.294956689972105,-9.878686365887699
3,26.77440190579354,2.1728923075942403,11.033036310812266,-9.727602431317006
4,27.944661426220026,4.987356069097401,11.643407117122814,-9.727761946367227
5,29.900785191165593,5.612305567166859,12.05293774002053,-9.727602431317006
6,29.900785191165593,3.63307433021937,12.221521466301933,-10.103599945694743
7,29.900785191165593,3.208595411008071,11.330610734478904,-9.727602431317006
8,29.900785191165593,6.738955411440587,10.909167129635176,-7.180946302898395
9,33.70988738176783,8.15762420045322,11.818796538719955,-11.162292140780806
10,33.70988738176783,8.158935534879962,12.56800227276405,-9.18774093773846
11,33.70988738176783,8.99095967226236,11.708632835882756,-7.378698133474035
12,33.70988738176783,8.823675475157309,11.702242204229021,-8.273312075390503
13,33.70988738176783,9.340116611125566,12.004187106755616,-9.414173534870482
14,43.14953070897949,8.975783193275369,12.56032673053512,-9.760914642302726
15,43.14953070897949,11.241889868207346,11.893979242355831,-8.244318542158418
16,43.14953070897949,13.446840061997408,11.852656223138958,-6.231178155156747
17,43.14953070897949,14.183789776566998,11.457672499325705,-6.912705340536741
18,43.14953070897949,15.553635413109896,11.465202145714557,-6.286266375280939
19,43.14953070897949,14.852580801192836,12.565218047590188,-6.45926160926853
20,43.14953070897949,15.150802644616535,13.668627449046244,-6.229499707732708
21,43.14953070897949,15.418445184130777,14.169054093402497,-6.231700018526783
22,43.14953070897949,20.57369725075909,15.98842561760342,-6.229499707732708
23,43.14953070897949,25.830793693918576,17.115016817795293,-7.2471861554452985
24,43.14953070897949,32.55558975137991,15.043720453966793,-6.231439336856833
25,43.14953070897949,40.60200638137669,4.887487212416373,12.202592111088833
26,43.14953070897949,41.75198407538132,0.33487581871021616,41.67174216340439
27,43.14953070897949,41.76535772737748,0.3599724077050591,41.67174216340439
28,43.14953070897949,41.59360724084691,1.9678294385559227,19.15723545393816
29,43.14953070897949,41.75867090137939,0.34771495190002405,41.67174216340439
