GENERATION BEST       MEAN       STD        ENEMY: 8
21         86.851591  16.009328  18.497478 
22         86.851591  13.700768  18.047779 
23         86.851591  12.447908  18.106533 
24         86.851591  15.562793  18.062942 
25         86.851591  17.874276  18.117498 
26         86.851591  16.971154  19.556919 
27         86.851591  17.238756  19.352626 
28         86.851591  16.982975  19.809755 
29         86.851591  15.156709  18.864133 
30         86.851591  12.777943  19.222782 
31         86.851591  14.140063  18.724810 
32         86.851591  13.228252  19.213772 
33         86.851591  13.228483  21.130697 
34         86.851591  16.009643  19.127719 
35         86.851591  14.515326  20.215738 
36         86.851591  16.345866  21.101093 
37         86.851591  20.167347  19.817540 
38         86.851591  11.693194  19.362507 
39         86.851591  13.654005  19.981431 
40         86.851591  16.891633  20.657525 
41         86.851591  16.459267  18.581283 
42         86.851591  18.431378  19.586935 
43         86.851591  17.145702  19.368560 
44         86.851591  19.548142  20.231166 
45         86.851591  19.302367  21.223934 
46         86.851591  18.928045  20.710179 
47         86.851591  16.360841  19.382713 
48         86.851591  19.031392  20.316917 
49         86.851591  14.378376  19.028145 
GENERATION BEST       MEAN       STD        ENEMY: 5

0          92.296456  10.103777  28.682247 
1          93.696796  20.708577  35.679427 
GENERATION BEST       MEAN       STD        ENEMY: 4

0          64.825276  1.206730   12.428779 
1          65.866780  5.889110   15.627641 
2          65.866780  10.754278  16.336251 
3          65.866780  21.497630  19.405304 
4          65.866780  26.401155  21.248431 
5          83.123444  33.697993  24.683871 
6          83.123444  38.258458  25.399579 
7          83.123444  40.517481  26.987279 
8          83.307706  36.538188  29.435014 
9          84.287271  45.562132  27.469416 
10         84.350785  42.482029  29.414131 
11         84.350785  42.296996  29.198950 
12         84.856704  48.189705  27.736902 
13         84.856704  46.514331  28.933270 
14         84.856704  49.751238  27.117624 
15         86.604277  43.864803  28.886291 
16         86.604277  50.509494  26.222766 
17         86.604277  51.698164  26.924532 
18         87.277173  48.213528  28.022376 
19         87.277173  42.502333  28.204998 
20         87.277173  46.070799  26.935806 
21         87.277173  45.533852  28.914735 
22         87.277173  45.734075  28.709735 
23         87.277173  50.125349  27.696652 
24         87.277173  50.388704  26.357887 
25         87.277173  52.343094  28.024946 
26         87.277173  55.021119  27.892853 
27         87.277173  57.353650  27.402211 
28         87.277173  52.484735  29.423824 
29         87.277173  58.118050  27.202523 
30         87.277173  60.412097  27.311896 
31         87.277173  60.622423  27.852854 
32         87.277173  57.183744  29.049849 
33         87.277173  52.625746  27.841017 
34         87.277173  54.944084  30.464040 
35         87.277173  58.839063  28.545752 
36         87.277173  56.691868  27.781759 
37         87.277173  60.903246  29.053826 
38         87.277173  60.308934  29.827671 
39         87.277173  55.967859  31.109799 
40         87.277173  54.702051  31.488443 
41         87.277173  59.300197  29.039602 
42         87.277173  62.387558  28.254423 
43         87.277173  53.311890  31.921597 
44         87.277173  62.535502  28.043479 
45         87.277173  60.225640  29.005827 
46         87.277173  63.430898  27.773215 
47         87.277173  62.050954  29.671194 
48         87.277173  62.756503  29.921549 
49         87.277173  62.838370  30.370157 
GENERATION BEST       MEAN       STD        ENEMY: 5

0          92.794000  10.678132  30.540850 
1          93.696796  19.270404  36.497979 
2          93.696796  28.349919  40.069997 
3          93.977405  47.568940  44.275227 
4          93.977405  72.335703  35.777223 
5          93.977405  82.824630  25.982974 
6          94.164803  77.883283  32.525761 
7          94.164803  81.948126  27.238223 
8          94.164803  85.883527  22.721977 
9          94.164803  86.701524  21.336297 
10         94.164803  87.613907  19.748837 
11         94.164803  85.688527  22.319576 
12         94.164803  85.582688  23.606283 
13         94.164803  89.539814  15.327453 
14         94.164803  88.578229  18.275711 
15         94.164803  87.772076  19.861740 
16         94.164803  88.385595  19.243154 
17         94.221683  87.728484  19.205319 
18         94.221683  89.755922  14.340421 
19         94.532466  88.735515  17.016325 
20         94.532466  89.918518  14.285634 
21         94.532466  90.973251  10.442180 
22         94.532466  91.422370  9.370509  
23         94.532466  90.478886  12.821206 
24         94.532466  90.831970  9.830351  
25         94.532466  90.526277  13.042685 
26         94.532466  89.624045  15.677627 
27         94.532466  89.245487  14.849264 
28         94.532466  91.636847  9.413811  
29         94.532466  88.777435  17.443060 
30         94.532466  88.076459  18.789887 
31         94.532466  92.484972  0.985776  
32         94.532466  91.158504  9.963535  
33         94.532466  89.183597  15.878862 
34         94.532466  91.650028  8.948253  
35         94.532466  91.556356  9.332414  
36         94.532466  91.410858  9.839703  
37         94.532466  92.444900  1.136609  
38         94.532466  92.490437  1.079415  
39         94.532466  92.087265  2.754469  
40         94.532466  92.496469  1.141159  
41         94.798596  91.683289  8.159508  
42         94.798596  90.638684  12.728794 
43         94.798596  92.448792  1.070854  
44         94.798596  92.565548  1.073019  
45         94.798596  91.735729  6.662447  
46         94.798596  91.713330  7.538453  
47         94.798596  91.683258  8.192272  
48         94.798596  91.674637  7.282993  
49         94.798596  92.608752  1.209723  
GENERATION BEST       MEAN       STD        ENEMY: 7

0          88.879465  9.852107   26.649777 
1          89.072892  18.383440  30.327030 
2          89.072892  29.722621  30.879218 
3          89.072892  42.610009  30.689908 
4          89.072892  48.158373  29.296543 
5          89.072892  48.682754  30.447723 
6          90.076695  51.661487  33.688987 
7          90.076695  60.937934  31.139258 
8          90.076695  73.690107  25.519211 
9          90.076695  85.184329  10.942273 
10         90.076695  87.579250  4.888283  
11         90.076695  88.467742  1.263005  
12         90.076695  87.540330  9.419110  
13         90.076695  87.550611  9.411945  
14         90.076695  88.529910  1.118332  
15         90.076695  88.412316  1.213638  
16         90.076695  87.685593  6.167663  
17         90.076695  85.488886  15.596062 
18         90.076695  86.345685  12.548141 
19         90.076695  87.511420  9.152393  
20         90.076695  87.575736  9.162656  
21         90.076695  87.567847  8.289968  
22         90.076695  88.386032  1.280802  
23         90.076695  87.946517  5.869423  
24         90.076695  85.804635  14.978675 
25         90.076695  88.534779  1.234258  
26         90.076695  88.442047  1.818418  
27         90.076695  87.988118  5.051619  
28         90.076695  88.475312  1.161481  
29         90.076695  88.452030  1.247245  
30         90.076695  86.403327  11.784972 
31         90.076695  87.951347  5.807889  
32         90.076695  87.690402  9.179130  
33         90.076695  87.688860  9.163205  
34         90.076695  87.513262  9.140023  
35         90.076695  87.611188  9.217614  
36         90.076695  88.620693  1.235775  
37         90.076695  86.718009  12.276373 
38         90.076695  88.682706  1.152890  
39         90.076695  88.332675  1.211253  
40         90.076695  87.718519  8.316084  
41         90.076695  88.391419  1.184034  
42         90.076695  86.955781  11.037862 
43         90.076695  88.224869  2.486022  
44         90.076695  88.234936  1.169170  
45         90.076695  86.546921  12.811672 
46         90.076695  87.874747  5.889485  
47         90.076695  86.371727  13.419255 
48         90.076695  88.504504  1.236656  
49         90.076695  87.644066  9.205522  
GENERATION BEST       MEAN       STD        ENEMY: 4

GENERATION BEST       MEAN       STD        ENEMY: 4

GENERATION BEST       MEAN       STD        ENEMY: 4

GENERATION BEST       MEAN       STD        ENEMY: 4

0          48.036421  -0.172159  10.730311 
1          55.786232  4.851915   12.193280 
2          65.866780  12.624246  15.685929 
3          65.866780  16.263026  11.867441 
4          74.426320  19.295799  13.384192 
5          74.426320  23.385451  11.864399 
6          74.426320  24.581356  17.754846 
7          74.426320  32.399439  18.648828 
8          74.426320  36.470108  16.834887 
9          74.426320  38.398592  17.154923 
10         74.426320  36.957789  15.813402 
11         74.426320  38.822453  14.446462 
12         74.426320  39.156810  16.605094 
13         74.426320  41.029271  15.432225 
14         74.426320  42.115915  17.425919 
15         74.426320  40.719459  18.139848 
16         74.426320  39.724429  15.939515 
17         74.426320  41.585574  17.240288 
18         74.426320  39.185960  15.198403 
19         74.426320  38.881686  13.812755 
20         74.426320  40.197771  15.029846 
21         74.426320  38.922012  14.801171 
22         74.426320  39.007186  15.028289 
23         74.426320  40.059441  15.152389 
24         74.426320  40.515053  16.247242 
25         74.426320  41.215805  16.159749 
26         74.426320  41.657077  17.434312 
27         74.426320  38.726257  13.630377 
28         74.426320  40.021821  12.583419 
29         74.426320  37.109164  12.306273 
30         74.426320  40.289558  13.021512 
31         74.426320  38.990325  14.060800 
32         74.426320  39.863291  15.020875 
33         74.426320  39.514332  15.192398 
34         74.426320  38.569444  14.801954 
35         74.426320  41.744869  16.071075 
36         74.426320  40.688428  15.926283 
37         74.426320  41.304192  15.974957 
38         74.426320  42.807557  17.280090 
39         74.426320  39.541267  16.705198 
40         85.251103  41.059391  16.343830 
41         85.251103  38.362795  17.230338 
42         85.251103  41.700365  17.805584 
43         85.251103  42.187436  22.520303 
44         85.671103  48.160123  24.700431 
45         85.671103  55.260851  28.178642 
46         85.671103  67.958217  26.377707 
47         85.671103  77.086257  20.548494 
48         85.671103  85.405262  0.591996  
49         85.671103  84.758675  8.251492  
