Generation,Max,Avg,Std,Min
0,56.92235775665097,-0.3827870145880461,11.132648233361873,-7.290292882446597
1,56.67564103761869,4.441340046426343,13.797764390815892,-6.785587645007929
2,74.05591279177047,10.219474501125248,14.690999314300393,-7.289610521451167
3,74.07834181584887,14.577247613075421,16.73770840351599,-7.289610521451167
4,74.07834181584887,20.09498788787034,19.16483669211417,-6.368187186350492
5,84.4439348148672,23.464310046808937,22.191728542644938,-6.373319789577012
6,86.18775743094814,33.64857259700207,25.103631862773145,-6.340359303727752
7,86.18775743094814,33.02930294714292,26.202689855456992,-7.290292882446597
8,86.18775743094814,42.09135993303366,25.765475127534554,-5.598421958998375
9,86.18775743094814,42.99371316289928,31.116188282241172,-6.373319789577012
10,86.64852819440057,47.064033333497584,30.66198478301376,-6.369900982828227
11,86.95760523667572,47.39579586373843,35.04374546688809,-6.373319789577012
12,88.91385527576242,55.34689849462554,33.04345965054167,-6.373319789577012
13,87.51894237406384,61.149258787618585,33.49960396823003,-6.338594078203183
14,86.64852819440057,69.09643208314128,30.87920551781123,-6.373319789577012
15,86.64852819440057,75.58257783407704,26.414998198181582,-6.373319789577012
16,86.64852819440057,75.86268821595937,27.46518504344132,-6.373319789577012
17,86.64852819440057,73.97011209297253,30.00733622047599,-6.373319789577012
18,86.64852819440057,78.51984016789106,23.387216450349683,-6.740519359606223
19,86.64852819440057,79.86569198150184,21.423390103646057,-6.408528791059498
20,86.64852819440057,74.89108132741516,29.118190879503015,-6.373319789577012
21,86.64852819440057,75.21626023141924,27.77554446578467,-6.373319789577012
22,86.64852819440057,74.71645629402096,29.373721269663324,-6.368187186350492
23,86.64852819440057,75.48777126337801,27.640252989742635,-6.373319789577012
24,86.64852819440057,74.80748627345478,29.107925583530523,-6.3080984415095305
25,86.64852819440057,79.18145283662767,21.324645386144756,-5.676753802268282
26,86.64852819440057,79.6173958010246,21.133521249962204,-6.913737350659685
27,86.64852819440057,77.34864591027097,25.668602456662075,-6.054439346269371
28,86.64852819440057,83.27859954508273,13.013184457745426,-6.0473721790462776
29,86.64852819440057,78.98542933455532,22.68873453752815,-6.405228458030842
30,86.64852819440057,76.16128098455002,26.86672932800437,-6.403574197934815
