Generation,Max,Avg,Std,Min
0,16.436067546704834,-3.7981699374514037,5.790664727638724,-9.727602431317006
1,16.436067546704834,-3.067036970016647,6.94691744107416,-9.790719783292072
2,27.15197737837741,-0.22033455889660877,9.491459755009659,-9.82467455863556
3,29.56071304328242,4.172816706629162,10.231441564454,-9.494338196225003
4,33.66158775117965,7.153959666645001,11.656690000262243,-9.929789893610543
5,33.66158775117965,8.662903270782955,12.673408617031797,-9.748017335497128
6,33.66158775117965,8.317833063781626,13.089916706287754,-9.758411041684933
7,33.66158775117965,9.496906233079205,12.06803128236343,-7.607796018777972
8,35.48114919435753,9.580513678826552,11.7610695586936,-10.070437142487329
9,35.48114919435753,8.677400155797345,11.444121144881738,-9.727602431317006
10,41.37157945567548,11.979967771691175,10.079670267259502,-6.109324886540641
11,41.37157945567548,10.499840767719036,10.777646122746596,-9.305400115802328
12,41.37157945567548,8.780731156535582,11.495446334447195,-8.522488931194676
13,41.37157945567548,11.073455187066235,10.974895214060147,-7.805117417813692
14,41.37157945567548,11.980206941071483,11.45277239094621,-8.269067125847325
15,41.37157945567548,10.150855440418205,12.314285176195984,-6.816548217731266
16,41.37157945567548,11.825245006418381,11.761918940708886,-6.873764443644401
17,41.37157945567548,11.692139775509474,11.698751390187642,-6.652362491412834
18,41.37157945567548,12.39109446037787,12.718708120592629,-9.726305100266114
19,41.37157945567548,12.465703779342304,12.525448740017547,-6.903674653094923
20,41.37157945567548,14.068805336277203,13.033717929365016,-6.652362491412834
21,41.37157945567548,12.815581514307091,12.691004266538922,-7.264333431550948
22,48.96625928563242,14.327058674153209,12.248592238484202,-7.953092448851757
23,48.96625928563242,15.50983903667531,12.527029293742213,-6.692733458197235
24,48.96625928563242,16.636708025197684,11.812687938133934,-7.392212227224364
25,48.96625928563242,16.46413931200413,13.03073121868162,-6.383811032795804
26,48.96625928563242,18.969746418591253,13.440467678027655,-7.861607189320318
27,48.96625928563242,21.054062996035785,12.534739765921408,-5.250410793365744
28,48.96625928563242,23.449382462890583,12.7945440763046,-3.064188496968473
29,50.274326441683584,26.563603052015,12.574561416453726,4.357291930532746
