Generation,Max,Avg,Std,Min
0,11.689737338203969,-4.681771240423775,5.049968174652081,-11.96509874914845
1,11.689737338203969,-3.4372081813119633,5.436543666578645,-8.093552894927676
2,14.980958661303763,-2.5625285226422547,6.792765204182588,-12.193434657351665
3,14.980958661303763,-0.3997781907212332,7.838298715667326,-8.633117944729822
4,14.980958661303763,-0.2257965683386258,7.678522564073705,-8.32009147227986
5,15.26219000360394,1.4220802943488398,8.048637686574619,-8.743602338654771
6,15.26219000360394,2.1532830999917305,8.60409423008557,-11.777709038310284
7,21.337255222912507,4.234830853860849,8.566278452170833,-6.494884968361449
8,21.337255222912507,3.285404547179644,8.633850064820374,-10.575186271701243
9,23.23949591172109,5.680984593293651,8.605699717967843,-10.977378181640482
10,23.23949591172109,7.9157266258972845,8.587591762175185,-10.552712915865179
11,23.23949591172109,7.856056396548818,7.999028484026304,-7.232334129583467
12,23.23949591172109,7.913757710985548,8.367625245281126,-10.463145920217013
13,23.302154374871893,8.788616952344467,7.413319993453172,-7.541068831087216
14,23.302154374871893,8.78289561891777,7.876804693800728,-7.566199667315647
15,23.302154374871893,8.702647404185713,8.283633229331587,-11.568540637392186
16,23.302154374871893,9.647741991245393,7.661875749331993,-10.461321515312445
17,25.32856034235412,9.711043686474316,7.652733635352376,-8.810247672712556
18,25.32856034235412,10.348265532817097,7.915904057294556,-11.777709038310284
19,25.32856034235412,11.021609092082715,6.906602573098152,-8.552536128387594
20,25.32856034235412,10.29469400125084,8.126436208821861,-11.777709038310284
21,25.368654055408115,11.578447973255638,6.987689029216055,-7.078818132997924
22,25.368654055408115,13.251144658365492,7.517023608324358,-6.450805565137896
23,34.07441690574233,15.609611456739712,5.820221418707269,-7.406976053294983
24,34.07441690574233,15.66780575698381,6.698448773446036,-7.095535373341329
25,34.07441690574233,16.112969268398054,6.437120447761611,-4.914634625881185
26,34.07441690574233,17.595810262100198,5.176915379741662,1.383860360451692
27,34.07441690574233,17.475976141215888,6.428206774827859,-4.269856907289206
28,34.07441690574233,17.370967262588707,6.6099905505313385,-6.12406876301975
29,34.07441690574233,16.833251150151323,6.940397077707065,-3.6717861358405166
