Generation,Max,Avg,Std,Min
0,21.891729151742144,-3.878396739660509,6.2007268103779865,-10.915698546900266
1,21.891729151742144,-2.8957155708913227,6.582858919624609,-9.727602431317006
2,33.509797946223316,-1.0014628759331943,8.536818205230638,-10.072859041872505
3,33.509797946223316,2.2011263106216976,9.965406097189998,-8.673994663124438
4,33.509797946223316,4.653533671106736,11.649443480108996,-9.719563138773054
5,33.509797946223316,6.870648019977427,11.463518770720937,-9.356079547155506
6,41.37992024191801,6.1796343097881525,12.033854556509384,-10.889704161929433
7,43.81743415658363,10.572995403717966,12.60121930566654,-6.673770154761633
8,43.81743415658363,11.900686213859341,12.811189828285382,-6.0262009152253775
9,43.81743415658363,12.10771669659911,12.554466188617324,-11.28865967269259
10,43.81743415658363,12.718602572176367,13.382994123639005,-6.90929169901278
11,43.81743415658363,12.613628579966996,11.931074907658827,-6.229499707732708
12,43.81743415658363,12.176450965020674,12.21195201959115,-6.649895755949546
13,43.81743415658363,10.614120501806786,11.820026572674111,-6.422070872230396
14,43.81743415658363,13.474466866593229,12.236159324877626,-6.162245313014232
15,43.81743415658363,15.363143522589082,13.890638262273608,-6.721231464390961
16,43.81743415658363,14.927079450444372,13.619312505596891,-6.231791179809976
17,43.81743415658363,14.308131587363468,13.585911345762367,-6.232557286646838
18,43.81743415658363,15.19160482518144,12.120248455945019,-5.7918298455603185
19,48.60261485526007,17.563298681062598,12.702708202074062,-5.806207851417213
20,48.60261485526007,21.076585570336793,12.310186587318237,-3.2505903208767073
21,48.60261485526007,22.714429841145183,12.713106239185437,-3.326855488750688
22,48.60261485526007,22.922273363210667,11.891690018409477,-3.081087165210736
23,48.60261485526007,24.570159986190596,12.643461991229582,-3.2661283351820174
24,48.60261485526007,26.14385109747547,12.154198454027952,-3.135369984024692
25,48.60261485526007,28.008381586656053,11.140986220778151,4.379048507188799
26,48.60261485526007,26.401646998615117,11.442723473470211,1.0472843714433964
27,48.60261485526007,24.54835522258277,12.458494376688568,-1.4479896869036857
28,49.43038131491053,25.3292098292515,12.653672001548784,-4.320273798963033
29,49.43038131491053,25.71580330928808,12.46482121173996,-3.2505903208767073
