Generation,Max,Avg,Std,Min
0,87.29185751001958,3.067248770581249,23.70643252855697,-6.246106765481563
1,87.29185751001958,17.78732010989633,35.48799024374097,-5.777652323222656
2,87.51854308107201,37.74265872869691,41.891238737593596,-6.45833828334479
3,90.44772932632856,58.70135364373866,38.540610026964444,-6.278521424165844
4,91.51356122494231,71.66730095552892,33.830778835811934,-6.551080335043404
5,90.44772932632856,65.61778836485536,35.916505859784756,-6.278521424165844
6,90.44772932632856,73.27386581170832,32.04297309731372,-6.1779441140506
7,90.47842158035621,65.91467062440105,37.024288620538556,-6.09807428216624
8,90.47060701409177,70.14501067762971,34.759645931605704,-5.768320995793772
9,90.44772932632856,85.56852494124607,18.648956991620118,-6.3080984415095305
10,90.44772932632856,78.2728654301302,29.82731137837932,-6.555356891810665
11,90.44772932632856,81.47516461888024,24.658810436916017,-5.365976015021851
12,90.44772932632856,83.0485062345484,23.64156017946832,-5.777652323222656
13,90.44772932632856,82.4276106617315,24.534349958773355,-5.752572638825633
14,90.44772932632856,80.99406694062858,27.11686662853514,-5.749392985908253
15,90.44772932632856,80.20201408363253,28.228848528813597,-6.551080335043404
16,90.44772932632856,86.1469877562451,18.69053228799326,-5.41610040220442
17,90.44772932632856,83.6217321698968,23.177929088738466,-5.749392985908253
18,90.44772932632856,82.59802587848363,24.124353183572623,-6.499787040655854
19,90.44772932632856,79.84756901786177,29.024077362067437,-5.780743515792329
20,90.44772932632856,76.09764904209993,33.14925980037662,-6.095824562432225
21,90.83353194306673,81.94619851768277,23.87921282800767,-5.855071922202427
22,90.67003982910278,81.2296922092263,24.96709973076113,-5.7745515455444085
23,90.73003982910278,84.34145817511225,20.904858403569513,-5.777652323222656
24,90.73003982910278,84.46767334229408,20.895722185732687,-5.840641657373398
25,90.73003982910278,76.36532139119521,32.765713685093424,-5.872117789475416
26,90.73003982910278,81.7895091261998,26.568351525575473,-5.8888779583328805
27,90.73003982910278,81.03478646924856,27.25892181208492,-5.7899601708972535
28,91.4592564842077,77.45373630682579,31.737439166509784,-5.945420608606575
29,91.4592564842077,82.50821066466474,25.985578603236643,-6.483107351457199
30,91.4592564842077,82.61162970952364,25.507286603761994,-5.91350300563827
