Generation,Max,Avg,Std,Min
0,90.85873645484158,12.141694237525304,27.750213147373337,-6.42648845745769
1,92.63931836898448,30.755273598680933,33.10040018038006,-5.921578419643816
2,92.92772932632853,48.51729157059495,34.30617905825819,-5.8998973535824915
3,92.92772932632853,56.91125743474295,36.167029407879696,-6.45833828334479
4,92.92772932632853,75.69513010894526,27.423988860529256,-5.805134968916488
5,92.92772932632853,77.57857387760268,29.89802959168551,-5.945420608606575
6,92.77946500072771,81.4713802805646,25.866660485274366,-5.786897381366708
7,93.12772932632852,82.69958242831845,25.72594460597944,-5.805134968916488
8,93.12772932632852,70.31353001594181,36.523750876289164,-5.805134968916488
9,93.12772932632852,81.83507123802306,26.833757570735887,-5.8971538676367405
10,93.12772932632852,82.22279641816016,26.683694348774374,-5.8971538676367405
11,93.12772932632852,81.73922067058206,26.258347500283207,-5.929589143389895
12,92.9361681949744,78.99641766004471,27.909980271134966,-5.8998973535824915
13,92.9361681949744,80.78043878407712,26.05176709917271,-5.82600010738045
14,93.12772932632852,86.00447233356864,19.672541754165238,-5.805134968916488
15,93.12772932632852,87.62587890888264,15.367418288437483,3.2131026186332923
16,93.12772932632852,89.75256347062871,10.072134899579694,30.326676732828506
17,93.12772932632852,86.4834681036487,18.897188064196573,-5.786897381366708
18,92.77946500072771,87.43615072561626,15.858860360195797,-5.44673737166631
19,92.77946500072771,89.07299676946336,11.833547945447519,4.163718093048522
20,92.77946500072771,88.36765432272679,15.287430694994987,4.109650871778246
21,92.77946500072771,90.90774103487291,8.114177587228161,30.097366666598635
22,92.77946500072771,92.28828145401211,1.7679588285482108,75.24742736117437
23,92.77946500072771,92.18954833820511,2.710160122307507,66.22234767677735
24,92.77946500072771,92.12257185776798,3.531751119786507,57.24425778641309
25,92.77946500072771,91.07665583518423,10.195139066588762,4.109650871778246
26,92.77946500072771,91.97050299608826,5.2355016735865325,39.96304739758637
27,92.77946500072771,92.55047593908415,0.25105463614349405,91.36878821817864
28,92.77946500072771,92.53258218559962,0.19798170521546007,92.14041448585584
29,92.77946500072771,91.92123505384518,6.215794691305966,30.100102646417508
30,92.77946500072771,92.28094668766498,1.8218548808721142,75.20394224923463
